row,offset,id,string
0,0,0,""
1,1,1,"qc/defs.qc"
2,12,2,"makevectors"
3,24,3,"setorigin"
4,34,4,"setmodel"
5,43,5,"setsize"
6,51,6,"break"
7,57,7,"random"
8,64,8,"sound"
9,70,9,"normalize"
10,80,10,"error"
11,86,11,"objerror"
12,95,12,"vlen"
13,100,13,"vectoyaw"
14,109,14,"spawn"
15,115,15,"remove"
16,122,16,"traceline"
17,132,17,"checkclient"
18,144,18,"find"
19,149,19,"precache_sound"
20,164,20,"precache_model"
21,179,21,"stuffcmd"
22,188,22,"findradius"
23,199,23,"bprint"
24,206,24,"sprint"
25,213,25,"dprint"
26,220,26,"ftos"
27,225,27,"vtos"
28,230,28,"coredump"
29,239,29,"traceon"
30,247,30,"traceoff"
31,256,31,"eprint"
32,263,32,"walkmove"
33,272,33,"droptofloor"
34,284,34,"lightstyle"
35,295,35,"rint"
36,300,36,"floor"
37,306,37,"ceil"
38,311,38,"checkbottom"
39,323,39,"pointcontents"
40,337,40,"fabs"
41,342,41,"aim"
42,346,42,"cvar"
43,351,43,"localcmd"
44,360,44,"nextent"
45,368,45,"particle"
46,377,46,"ChangeYaw"
47,387,47,"vectoangles"
48,399,48,"WriteByte"
49,409,49,"WriteChar"
50,419,50,"WriteShort"
51,430,51,"WriteLong"
52,440,52,"WriteCoord"
53,451,53,"WriteAngle"
54,462,54,"WriteString"
55,474,55,"WriteEntity"
56,486,56,"movetogoal"
57,497,57,"precache_file"
58,511,58,"makestatic"
59,522,59,"changelevel"
60,534,60,"cvar_set"
61,543,61,"centerprint"
62,555,62,"ambientsound"
63,568,63,"precache_model2"
64,584,64,"precache_sound2"
65,600,65,"precache_file2"
66,615,66,"setspawnparms"
67,629,67,"qc/subs.qc"
68,640,68,"SUB_Null"
69,649,69,"SUB_Remove"
70,660,70,"SetMovedir"
71,671,71,""
72,672,72,"InitTrigger"
73,684,73,"SUB_CalcMoveEnt"
74,700,74,"No speed is defined!"
75,721,75,"SUB_CalcMove"
76,734,76,"SUB_CalcMoveDone"
77,751,77,"SUB_CalcAngleMoveEnt"
78,772,78,"SUB_CalcAngleMove"
79,790,79,"SUB_CalcAngleMoveDone"
80,812,80,"DelayThink"
81,823,81,"DelayedUse"
82,834,82,"player"
83,841,83,"misc/talk.wav"
84,855,84,"SUB_UseTargets"
85,870,85,"SUB_AttackFinished"
86,889,86,"SUB_CheckRefire"
87,905,87,"qc/fight.qc"
88,917,88,"knight_attack"
89,931,89,"monster_knight"
90,946,90,"CheckAttack"
91,958,91,"ai_face"
92,966,92,"ai_charge"
93,976,93,"ai_charge_side"
94,991,94,"ai_melee"
95,1000,95,"ai_melee_side"
96,1014,96,"SoldierCheckAttack"
97,1033,97,"ShamCheckAttack"
98,1049,98,"OgreCheckAttack"
99,1065,99,"qc/ai.qc"
100,1074,100,"anglemod"
101,1083,101,"monster_movetarget: no targetname"
102,1117,102,"movetarget_f"
103,1130,103,"path_corner"
104,1142,104,"monster_ogre"
105,1155,105,"ogre/ogdrag.wav"
106,1171,106,"t_movetarget"
107,1184,107,"range"
108,1190,108,"visible"
109,1198,109,"infront"
110,1206,110,"HuntTarget"
111,1217,111,"ogre/ogwake.wav"
112,1233,112,"knight/ksight.wav"
113,1251,113,"monster_shambler"
114,1268,114,"shambler/ssight.wav"
115,1288,115,"monster_demon1"
116,1303,116,"demon/sight2.wav"
117,1320,117,"monster_wizard"
118,1335,118,"wizard/wsight.wav"
119,1353,119,"monster_zombie"
120,1368,120,"zombie/z_idle.wav"
121,1386,121,"monster_dog"
122,1398,122,"dog/dsight.wav"
123,1413,123,"monster_hell_knight"
124,1433,124,"hknight/sight1.wav"
125,1452,125,"monster_tarbaby"
126,1468,126,"blob/sight1.wav"
127,1484,127,"monster_vomit"
128,1498,128,"vomitus/v_sight1.wav"
129,1519,129,"monster_enforcer"
130,1536,130,"enforcer/sight1.wav"
131,1556,131,"enforcer/sight2.wav"
132,1576,132,"enforcer/sight3.wav"
133,1596,133,"enforcer/sight4.wav"
134,1616,134,"monster_army"
135,1629,135,"soldier/sight1.wav"
136,1648,136,"monster_shalrath"
137,1665,137,"shalrath/sight.wav"
138,1684,138,"SightSound"
139,1695,139,"FoundTarget"
140,1707,140,"FindTarget"
141,1718,141,"ai_forward"
142,1729,142,"ai_back"
143,1737,143,"ai_pain"
144,1745,144,"ai_painforward"
145,1760,145,"monster_dragon"
146,1775,146,"ai_walk"
147,1783,147,"ai_stand"
148,1792,148,"ai_turn"
149,1800,149,"ChooseTurn"
150,1811,150,"FacingIdeal"
151,1823,151,"CheckAnyAttack"
152,1838,152,"ai_run_melee"
153,1851,153,"ai_run_missile"
154,1866,154,"ai_run_slide"
155,1879,155,"ai_run"
156,1886,156,"qc/combat.qc"
157,1899,157,"CanDamage"
158,1909,158,"Killed"
159,1916,159,"items/protect3.wav"
160,1935,160,"door"
161,1940,161,"T_Damage"
162,1949,162,"T_RadiusDamage"
163,1964,163,"T_BeamDamage"
164,1977,164,"qc/items.qc"
165,1989,165,"items/itembk2.wav"
166,2007,166,"SUB_regen"
167,2017,167,"noclass spawned at"
168,2036,168,"\n"
169,2038,169,"noclass"
170,2046,170,"Bonus item fell out of level at "
171,2079,171,"PlaceItem"
172,2089,172,"StartItem"
173,2099,173,"T_Heal"
174,2106,174,"maps/b_bh10.bsp"
175,2122,175,"items/r_item1.wav"
176,2140,176,"maps/b_bh100.bsp"
